Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
BNT_Aus_19_2	0.336100326282413	0.171406416683192	0	0.661800531842122	0.857191011710006	2.72047552910502	0.407272582678785	0	0	0	1.39062098825113	0	0.756517903879766	0	0	0.028748863782749	0	0.0182175842076982	0	0	0	4.65044326157712	9999	0.731229624792308	0.691892964585138	11.998795
BNT_Aus_20_1	0.19970089845867	0.312409213134328	0	1.12710018956321	0.45808137623635	1.2329832158124	0.335403153183278	0	0	0	0.829772498015206	0	0.229621175031781	0	0	0.166052556124882	0	0.0112428247452988	0.222922896009705	0	0	3.69252500368489	9999	0.721551977352285	0.699577978438629	8.817815
BNT_Aus_20_2	0.300670213832405	0.220910832992674	0	0.908915434182703	0.719450733813408	0.806181869644756	0.422276824826549	0	0	0	0.981910710177295	0	0.170565071750361	0	0	0.35229005349277	0.0692880964382858	0.0701374391392947	0.178574634002748	0	0	4.58242008570675	9999	0.783660077666523	0.63446500392564	9.783592
BNT_Aus_21_1	0.729986278365542	0.0776093863496402	0	2.12268296445601	0.0288512447148544	0.196407017152475	0.446931073586929	0.0289016269399909	0	0	0.779564214101228	0	0	0	0.0319681050723448	0.715693590815311	0	0	0.539681067593132	0	0	4.77728543085254	9999	0.728544944504554	0.691577589618098	10.475562
BNT_Aus_21_2	0.635315702134455	0.461994776982289	0	2.18511712064281	0.137365699079533	0.188265992981304	0.650733737981322	0.118444564788313	0	0	1.65094022022447	0	0.191380876365841	0	0	0.116899470052585	0	0.0144480701707612	0.428157651757883	0	0	5.31551911683843	9999	0.716547216520402	0.702646619450971	12.094583
BNT_Aus_22_1	0.280838935506539	0.0992723728814905	0.000480323271767416	0.0944110795799013	0.338927883678198	0.739328579186861	0.163519014259222	0	0	0	0.673672448144147	0	0	0	0	0.249889933249359	0.0123063819867676	0.0541918831537011	0.252811240058913	0	0	6.77389992504313	9999	0.80795875453024	0.59962234884486	9.73355
BNT_Aus_22_2	0.265058731695763	0.0785007992738769	0	0.193474719027515	0.405228465605151	0.732957572033732	0.290482238296491	0	0	0	0.664825490008152	0	0.312928489940966	0	0	0.0693861594445808	0	0.0207251482909833	0.112777610060861	0	0	6.12724457632193	9999	0.799627053166175	0.607634956596945	9.27359
BNT_Aus_23_1	0.288191668824305	0.31748760632068	0	0.506547082854559	0.72821590575921	0.570349754572304	0.455701304125309	0	0	0	0.626363682336136	0.0308114054076042	0	0	0	0.307958315068269	0.0366597121770248	0.138250123198629	0.446032981082281	0	0	5.20477945827369	9999	0.719085494187063	0.696566156975942	9.657349
BNT_Aus_23_2	0.110579500630679	0.245603465602501	0.00264130081671338	0.328580675669511	0.493709349357432	1.07898384140342	0.328251380917211	0	0	0	0.763448805302672	0	0	0	0	0.338541660263383	0	0.0945556244100031	0.272031601503247	0	0	6.06255679412322	9999	0.757066675032373	0.656457026003258	10.119484
BNT_Aus_25_1	0.202597514310719	0.0770074454022404	0.0182379444158836	0.528948654750031	0.609295861836324	0.257663176591433	0.355759384200008	0.0816890474277926	0	0	0.594734037558277	0	0	0	0	0.454951385220606	0.0476398427229282	0	0.428922582043946	0	0	6.42906112351981	9999	0.784007554427095	0.625244036784096	10.086508
