Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
Alpha_ID30_2nd,0,0.0213892493658358,0.00298891976809521,0.0965900075587177,0.0358814722963092,0.0271040310375381,0.0627750942324598,0,0,0,0.135978532493445,0,0.12335850220845,0,0,0.00141163970505744,0,0.000569327881130489,0.0215622747891964,0,0,0.470390948663765,0,0.759046599846698,0.6574449263572
Alpha_ID31_1st,0.00679514866618343,0.00313772999236758,0.00772068968046069,0,0.0400414208894264,0,0.0197868104787535,0.00825618724300462,0,0.0033050390507795,0.0351039532269637,0,0,0,0,0,0,0.0103783997087774,0.0201312879794562,0,0,0.845343333083827,0,0.802974449851573,0.63577049194045
Alpha_ID32_1st,0.0139837522313099,0,0.00302315667626639,0,0.0274779029525504,0,0.00903742012302605,0.0161982868528547,0,0.00580782700646319,0.0270159093324508,0,0,0,0,0,0,0.0134857707710841,0.012809450936483,0,0,0.871160523117511,0,0.782566358743074,0.678742728685698
Alpha_ID33_1st,0.0226836164164291,0.00537821907270533,0.00144220606720843,0,0.0288224125361793,0.0122473133069889,0,0.0266556368547621,0,0.00906737681974439,0.0175471269071661,0.000426383029205415,0,0,0,0.0280539232527148,0,0.0287475929336686,0.0412230266753859,0,0,0.777705166127842,0,0.690389765597798,0.767391962732807
Alpha_ID33_2nd,0.0151934033989459,0.0337044589557766,0,0,0.0258537598330703,0,0.0208324879479216,0,0,0,0.0523351973760041,0,0.0951329993862506,0,0,0.0204350186169071,0,0,0.00986314919398047,0,0,0.726649525291143,0,0.73577370218836,0.703369904150039
Alpha_ID34_1st,0,0.0158757509147287,0.00574026530352472,0.0150032525578274,0.015147995846246,0,0.0294265514607343,0.000925917094374886,0,0,0.051200298115374,0,0.189747170997543,0,0,0.00624997120214467,0,0,0.0269386626532992,0,0,0.643744163854204,0,0.64138906315437,0.799326148024195
Alpha_ID35_1st,0.018558953137075,0.00567013386181682,0.00533621456316861,0,0.0334309542513128,0,0.0296349580587602,0.0139602005207059,0,0.00184700442865954,0.0364059134061182,0,0,0,0,0,0,0.0142331550045575,0.0340182646441584,0,0,0.806904248123667,0,0.769351355575241,0.672303220434165
Alpha_ID35_2nd,0.0216709179466829,0.00420111398766588,0.00335380540340236,0,0.0319856035009525,0.00409862817947517,0.0308104120565397,0,0,0.0020017500101431,0.0412743558067916,0,0.0756205955496256,0,0,0.00667840352917297,0,0.0126772222674912,0.0153333114068727,0,0,0.750293880355184,0,0.782266323398722,0.643866600884815
Alpha_EK_ID39_1st,0.00616150859857255,0.00876910536938711,0.00177675014235797,0.0403162541391398,0.00479116974423777,0.0146431763992041,0.0372864286405611,0.00258164225775011,0,0,0.0785527956375065,0,0.174763382740251,0,0.0036359155939939,0.0427357383121919,0,0.00785987632929999,0.0499122194874886,0,0,0.526214036608057,0,0.663208616850387,0.752059594557204
Alpha_EK_ID39_2nd,0,0.0256296115539052,0,0.08038137032524,0,0.0727128339405241,0.0629313150386168,0,0,0,0.143430047510745,0,0.0237903070106618,0,0,0.00856191384539183,0,0,0.0195737505255583,0,0,0.562988850249357,0,0.729130164268002,0.68576304880392
Alpha_EK_ID39_3rd,0.0123098735647713,0.0250793707899101,0,0.271631356070124,0,0.00791097832491299,0.0884415964415493,0,0,0,0.26717148227309,0,0.0246480247684346,0,0.00322705425955633,0.0536063810751836,0.00691798405254433,0,0.0335528676227322,0,0,0.205503030757191,0,0.66493339116146,0.753729458710733
Alpha_EK_ID40_1st,0,0.0278478090276972,0.0018568686205644,0.103972903579631,0,0.0202063668111409,0.0658183506944441,0,0,0,0.1867495061912,0,0.15881192970345,0,0.00239619895902467,0.0389237563625815,0,0,0.0293700805879509,0,0,0.364046229462315,0,0.659368492298588,0.754017985500449
Alpha_EK_ID40_2nd,0,0.0258767765603093,0.00689867739490588,0.0985877092555701,0.0134498740509355,0.0218806698857487,0.0543289911637226,0,0,0,0.126844822009129,0,0.0904892721663116,0,0,0.00603723515409386,0,0,0.0143869768019019,0,0,0.541218995557372,0,0.643675576840444,0.770580847133989
Alpha_EK_ID40_3rd,0.0140547822173458,0.00912108588866463,0.00113521255296822,0.129352231340621,0.00337490731134628,0.0527916958501654,0.0351600238254016,0.000953334280320934,0,0,0.144874160503655,0,0.0270142446104244,0,0.00228940032776208,0.0394315367862513,0,0,0.000398436639615319,0,0.106746353878909,0.433302593986549,0,0.704812857479,0.71339406040718
Alpha_EK_ID41_1st,0,0.0271431326714711,0.00241482876388757,6.61803779251338e-05,0.0331655823464572,0.0162071902159884,0.0261660411522394,0.00833083548272233,0,0,0.0586400793038117,0,0.0466790690925164,0,0,0.0277276821904819,0,0.0087273435613715,0.0416252830640757,0,0,0.703106751777052,0,0.763284159262243,0.657218546075385
Alpha_EK_ID41_2nd,0.00392719547220588,0,0.00100393545826911,0.0546572188866397,0.0138676085316535,0.00976308178166522,0.0275543809862903,0,0,0,0.0779007300980943,0,0.121811544627722,0,0,0.018207684981188,0,0.00118803461826397,0.0150290354645068,0,0,0.655089549093501,0,0.749778549329129,0.671168606054234
Alpha_EK_ID41_3rd,0.0162287377306851,0,0.00434054625504162,0.0192348974749474,0.0364800912246358,0.0163008053390611,0.00793533607269789,0.0200140205502191,0,0,0.0493551037368377,0,0.0516369697975286,0,0,0.024107333153554,0,0.0134799680581125,0.0264919852715357,0,0,0.714394205335144,0,0.759088653860886,0.665751187327047
Alpha_ID42_1st,0.0204772195590267,0.0290991059549672,0.00263589712468967,0.0157691192774577,0.0303550844115539,0.0285275437268644,0.0740866869608593,0,0,0,0.0682369919190967,0.0132765281322567,0,0,0.000748915373177096,0.0162935102096165,0,0.00296174236005315,0.0420546461329302,0,0,0.655477008857451,0,0.741011273748259,0.676110211039057
Alpha_ID42_2nd,0.0208845604851035,0.0288458490349753,0.000923572793797592,0.0254191062353178,0.0282891889925459,0.109156582713412,0.0403572363449515,0,0,0,0.0665587893808893,0,0,0,0.00077152546477814,0.0411638682923425,0.00127932682903877,0,0.0186959140933445,0,0,0.617654479339503,0,0.77512689952202,0.633449342764543
Alpha_ID44_1st,0.0169132898579038,0.014984319923724,0.00619221698499347,0.0306659126053607,0.0195287617875625,0.029379899362408,0.0175374606519309,0,0,0.0321797711734357,0.0656661515978617,0,0.0643958930427475,0,0.00141013516408154,0.0449175199268214,0.00389517985121213,0,0.0273751013679039,0,0,0.624958386702053,0,0.764113327542581,0.647867566166434
