Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
Alpha_ID44_2nd,1.1346825765507,1.47291769562963,0.154765321006371,2.69743297647916,2.55384704725231,0.195112162266704,0.343649219698191,1.75978229150755,0,0,4.99397393692846,0,15.5815682938625,0,0.105961296949351,1.09885885337195,0.415185228982396,0,4.74483464764952,0,0,64.2059653891276,0,0.774161789694012,0.637492449411434,101.458536937262
Alpha_ID44_3rd,0,1.90888991813827,0.567802222273107,7.25955580848088,3.91490375027916,0,0.644386792147874,0.329634384994549,0,0,6.92706835732109,0,2.74697972650372,0,0,4.7463398697855,1.01840618900659,0,0.852195774165348,0,4.76722448312966,74.6305560640784,0,0.782398792839842,0.628749946771533,110.313943340304
Alpha_EK_ID45_1st,0.622383309070718,1.15124814475649,0.156216957836043,0,2.82200907356339,0.82711089491619,0,1.40424115410522,0,0,2.69579145029206,0,17.2557124505282,0,0,2.84983383086663,0,1.31012218266218,4.49975014304339,0,0,58.8681695680553,0,0.718088289140388,0.707428141769121,94.4625891596958
Alpha_EK_ID45_2nd,0.978608453422578,1.63883565819128,0.541535282756873,4.2325091521811,3.07352285078978,2.82414141816327,5.02930356653402,0,0,0,6.21742153337944,0.259953788693165,11.8813822652155,0,0.0865900435409864,3.13246157704685,0.23891756569616,0,4.91853957505553,0,0,45.8665078910064,0,0.732889608093551,0.681783079485317,90.920230621673
Alpha_ID46_1st,1.06454013429982,0.551318165356,0.788142853360442,0,3.22655219352751,0,1.31558210356368,0,0,0,6.9990510737573,0,4.78037953636066,0,0,0,0,1.24247080547817,0.829411717641302,0,0,88.4823004679859,0,0.74318107700554,0.716194377784751,109.279749051331
Alpha_ID46_2nd,1.47925768747405,1.60100087165858,0.0614344759515776,6.63457893053855,0,4.42341814358112,0.866925349848828,0,0,0,6.83880412612216,0.253725269830846,0.789482781367288,0,0,0,0,1.46121542496277,4.463130992679,0,0,77.6631696437039,0,0.7866179981913,0.628917482885919,106.536143697719
Alpha_ID46_3rd,3.92955482574097,0,0,14.2978729046288,0,2.19793994771179,1.89819759527055,0,0,0,6.59266853778681,0,8.15686556469822,0,0,1.73701393813569,0.000993682578230367,0.490313948953973,0,0.49893293865405,0,21.2542331291489,0,0.498605247178385,0.870754216869884,61.054587013308
Alpha_ID48_1st,1.31262075384558,1.1360946460557,0.713012403967961,0.932507850999938,3.75140446860168,0,3.75816901378933,1.77712138602714,0,0,5.22857814485186,0,4.83184207417004,0,0,0,0,1.78702433102478,3.73637319027707,0,0,81.6786797496969,0,0.71379712198519,0.728515554284157,110.643428013308
Alpha_ID48_2nd,0.22999532362577,1.38104885828151,0,0,3.06942897945887,0,1.11301589185002,0,0,0,6.04165138271043,0,12.6594502422896,0,0,0,0,0,1.03597969834024,0,0,80.2321293021508,0,0.754901203826959,0.690386435525079,105.762699678707
Alpha_ID49_1st,8.86391522137169,14.2170493308095,0,0,0,1.08647700805885,2.14151902954536,0.0814266834207978,0.374892357232477,0,1.93933144210149,0,2.04134747352412,0,0,0.854052898471723,0,0.186587370223608,1.24281015758201,0,0,42.6292126531336,0,0.748728306388681,0.664240403738007,75.6586216254753
