Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
BNT_Convalescent_2_Day1,0.0196041055110078,0,0,0.0137691889312226,0.044624940198403,0.0222533600455767,0.0278767304049114,0,0,0,0.0687629310576074,0,0.112556785372765,0,0,0.00555064335115722,0,0,0.0122183601021616,0,0,0.672782955025188,0,0.808971577263638,0.592644222831432
BNT_Convalescent_2_Day7,0.0143594716318134,0.0176205741911812,0,0.0650081194377302,0.0640270479014134,0.0706531473711065,0.024599568448089,0,0,0,0.0553629151230723,0.00430233116081633,0.0428669465969538,0,0,0.0175514720291159,0,0,0.0224823088278197,0,0.0169688523376448,0.584197244943243,0,0.685057756894752,0.732462731837466
BNT_Convalescent_3_Day1,0.0257294725724779,0.0153838103682935,0,0.012115797123345,0.0532362795524264,0.0153243719866714,0.0164999517235006,0,0,0,0.0361581700857662,0,0.097700729057861,0,0,0.026324606343616,0.000428040757885861,0.00896658569888985,0.019298717079291,0,0,0.672833467649975,0,0.851832413586757,0.526345738312986
BNT_Convalescent_3_Day7,0.0161491505485453,0.00778176822851759,0,0,0.0493247434990193,0.0293228589288518,0.0343720986013592,0,0,0,0.0322545808211931,0,0.113760639579345,0,0,0.0194326811299154,0,0.00450795987434008,0.0377223737291656,0,0.00319869334311311,0.652172451716635,0,0.767536380618534,0.646525323844386
BNT_Convalescent_4_Day0,0.0396457833957473,0.0220220625571018,0,0.0126818272624908,0.0352405421918867,0.00600449047007992,0.033071384675394,0,0,0,0.0464925006076207,0,0.277832498825943,0,0,0.00711593184778823,0,0.000302186314893266,0.0161193764060356,0,0,0.503471415445019,0,0.753920977577935,0.657092879868099
BNT_Convalescent_4_Day1,0.0257545243803535,0,0,0,0.0396208360599557,0.00845226505027519,0.0305516685284099,0,0,0.00331489037503245,0.0249801061970524,0,0.146337247510497,0,0.00127748512395161,0.012239982686905,0,0.00635323654487193,0.0394612458173649,0,0,0.661656511725331,0,0.793384380632897,0.614385915403974
BNT_Convalescent_5_Day0,0.00248339841877846,0.00799726543371004,0,0.0109194916016567,0.059869337133659,0,0.0437706872524721,0,0,0,0.121745326038424,0,0.0371339153118739,0,0,0.0076456375642813,0,0,0.0204501688053859,0,0,0.687984772439758,0,0.811740550700043,0.58857830504799
BNT_Convalescent_5_Day1,0,0.038609885042662,0,0.0236215119525204,0.0298678259171995,0.0317176522683176,0.0282619907661717,0,0,0.0180785961206532,0.0393900036544014,0,0,0,0.000489653402759505,0.0399803426351254,0.00398519419259023,0,0.0449982396855229,0,0.00572010431167876,0.695279000050398,0,0.821398193432706,0.573721612023899
BNT_Convalescent_5_Day7,0,0.0266052484371727,0,0.0437561236693159,0.0304413395029945,0.056116487464766,0.020833299406964,0,0,0,0.105048277915338,0,0.0626525886682622,0,0,0.0175188244258654,0,0.00101245666895532,0.0320514416709819,0,0.0801032602676408,0.523860651901743,0,0.705678540811819,0.709212490307327
BNT_Convalescent_6_Day0,0.0214403039731972,0.0239536113210067,0,0.0239589015168397,0.055776145180342,0.00127916820575085,0.0196102447872924,0,0,0,0.0504322708329838,0,0.107505125955784,0,0,0,0.00175689669073222,0.00617373182372506,0.033020534320706,0,0,0.65509306539164,0,0.810454650316924,0.588572406047414
BNT_Convalescent_6_Day1,0.0206514982407625,0.0167411343576872,0.000125317659064962,0,0.026274710477759,0.0204524578875638,0.0204179181471532,0.00111531359708499,0,0.00347575277883803,0.0289494485297997,0.010328883088794,0.0425770482803243,0,0,0.0355872766733837,0,0.0121582921614566,0.0568210996792605,0,0,0.704323848441068,0,0.815988861107099,0.58341097192761
BNT_Convalescent_6_Day7,0.0325503334637781,0.0245166516996981,0,0,0.0505898165068417,0.0477051578920315,0.0522301558586613,0,0,0,0.0705111856015038,0,0.0763934272969923,0,0,0.0133914860658797,0,0.00276791132015846,0.0176032716331955,0,0.0330186513556112,0.578721951305648,0,0.634787268186937,0.782446913417729
BNT_Convalescent_7_Day0,0.0363194409156162,0.0129653737509961,0,0.00290246233360836,0.0500828877142914,0.0297011947263211,0.0336394692011102,0,0,0,0.0523449668789663,0,0.0237000433773017,0,0.000415948101270608,0.0186846510699166,0,0,0.0374756616601017,0,0,0.7017679002705,0,0.768543518905766,0.648797650185365
BNT_Convalescent_7_Day1,0.024971641139703,0.00853170725717255,0,0,0.0438327903099816,0.00538132390997821,0.0237852555459674,1.34232001431157e-05,0,0.00117247872189925,0.0717702675403687,0,0.0640010168993734,0,0,0.00537100587324389,0,0,0.0174868894567041,0,0,0.733682200145465,0,0.764984314815393,0.663396326296735
BNT_Convalescent_7_Day7,0.0264309833536175,0.026384862487418,0,0,0.0426394080187816,0.102203938738452,0.0196248084687517,0,0,0,0.0578071661858062,0,0.0635694656679898,0,0,0.0164222497704134,0,0,0.0221884699823648,0,0.0355435462718108,0.587185101054594,0,0.65624009234322,0.762515260875621
BNT_Convalescent_8_Day0,0.0536615342333951,0,0,0,0.110329490123241,0.0829194465361378,0.0229450324637634,0,0,0.00067546646609719,0.0850447198440877,0,0.0566146464982714,0,0,0.0127410231590673,0,0,0.00987964653423889,0,0,0.5651889941417,0,0.79483487827435,0.610847065075667
BNT_Convalescent_8_Day1,0.0459704892515868,0.00225778836017604,0,0,0.107247700824256,0.127973910376501,0.0198546418821708,0,0,0,0.0448266786194106,0,0.032646012880561,0,0,0.00462754781942261,0,0,0.0133837677707112,0,0,0.601211462215204,0,0.819698881879545,0.576783734975984
BNT_Convalescent_8_Day7,0.0816986313444235,0.00131549187470381,0,0.0357059919924675,0.0655754297653357,0.115154682294474,0.000944769727965375,0.00737360083693652,0,0,0.0626055667444702,0,0,0,0.00254010465702609,0.0454873003800668,0.00355246446544489,0,0.0345702935975309,0,0.0340128868182708,0.509462785500884,0,0.56896922237082,0.8288075440855
BNT_Naive_10_Day0,0.0276500920394609,0.0248382530068179,0,0.0258719397443679,0.0760463028652924,0.043936884473412,0.0383366013801697,0,0,0,0.052990376733825,0,0,0,0.00119563279553487,0.0375183060361839,0.0035563960772249,0,0.0390467153667043,0,0,0.629012499481006,0,0.738583064131531,0.676655070875314
BNT_Naive_10_Day10,0.00968562839853854,0.0390381342535909,0,0.0390518755406152,0.0182038914640423,0.0855231512780864,0.0341058866290829,0,0,0,0.04352043738708,0,0,0,0.00136536203989999,0.0400643802275156,0.00462090950256903,0,0.0230356008878057,0,0,0.661784742391173,0,0.800888146720896,0.60108814552207
BNT_Naive_10_Day34,0.0331555995061857,0.0284302169050123,0,0.118224115632512,0.00392245703853118,0.00878593412774089,0.0243151252414153,0.0154392173219873,0,0,0.0669409187956358,0.00641780217485827,0,0,0.00181881621371375,0.039624076695525,0.00214891064252895,0,0.0267700585950669,0,0,0.624006751109286,0,0.794223846183654,0.610417856646639
